CUST_ID;PHONE;CONTACTS
C10001;+1 314-407-7397;2
C10002;+1 203-790-2151;2
C10003;+1 225-959-8209;3
C10004;+1 315-394-6219;0
C10005;+1 207-523-0823;0
C10006;+1 207-765-8240;0
C10007;+1 507-257-4838;1
C10008;+1 279-798-5201;0
C10009;+1 214-853-4614;3
C10010;+1 207-578-3306;2
C10011;+1 225-668-7081;0
C10012;+1 234-401-6438;1
C10013;+1 310-477-5172;2
C10014;+1 336-927-3147;3
C10015;+1 305-516-1405;3
C10016;+1 501-793-2033;0
C10017;+1 217-377-2577;0
C10018;+1 424-775-6708;2
C10019;+1 312-854-2988;2
C10020;+1 214-601-1123;2
C10021;+1 414-796-5479;2
C10022;+1 573-740-9563;2
C10023;+1 310-327-9752;1
C10024;+1 253-608-0202;1
C10025;+1 351-628-6227;0
C10026;+1 207-918-6770;1
C10027;+1 254-289-2816;1
C10028;+1 201-276-5300;0
C10029;+1 224-645-6636;0
C10030;+1 207-372-5593;3
C10031;+1 210-882-5879;1
C10032;+1 302-762-0016;1
C10033;+1 425-227-6932;1
C10034;+1 516-705-1526;0
C10035;+1 203-730-0701;3
C10036;+1 606-539-1898;3
C10037;+1 305-292-7514;3
C10038;+1 314-916-4932;1
C10039;+1 321-391-1622;0
C10040;+1 214-362-9528;3
C10041;+1 231-708-4053;2
C10043;+1 424-845-8198;3
C10044;+1 208-594-5381;2
C10045;+1 214-282-8246;1
C10046;+1 225-841-5858;2
C10047;+1 508-294-5311;1
C10048;+1 202-427-3951;3
C10049;+1 212-870-5129;2
C10050;+1 220-257-4738;1
C10051;+1 283-240-7470;3
C10052;+1 216-914-2487;3
C10053;+1 516-696-8554;3
C10054;+1 339-445-0363;1
C10055;+1 206-508-3207;3
C10056;+1 409-849-5417;1
C10057;+1 239-430-3177;0
C10058;+1 434-803-2772;2
C10059;+1 207-740-5834;1
C10060;+1 240-201-9783;1
C10061;+1 202-388-1655;1
C10062;+1 423-715-3688;0
C10063;+1 225-835-4938;3
C10064;+1 424-952-7623;2
C10065;+1 219-256-9232;3
C10067;+1 302-538-7977;1
C10068;+1 309-919-9029;1
C10069;+1 218-566-8813;2
C10070;+1 316-717-8825;3
C10071;+1 214-211-6924;0
C10072;+1 405-308-3632;2
C10073;+1 210-484-9932;2
C10074;+1 513-304-8451;2
C10075;+1 207-544-9266;1
C10077;+1 323-546-8970;1
C10078;+1 248-568-8320;0
C10079;+1 225-447-1799;1
C10080;+1 217-949-4850;0
C10081;+1 229-819-3807;0
C10082;+1 724-480-8270;3
C10083;+1 541-879-0438;0
C10084;+1 413-986-2154;1
C10085;+1 202-816-1641;2
C10086;+1 402-907-7660;1
C10087;+1 223-292-1180;3
C10088;+1 305-961-9694;3
C10089;+1 208-882-2875;3
C10090;+1 203-398-1368;1
C10092;+1 214-595-6478;3
C10093;+1 412-760-5490;1
C10094;+1 414-827-0253;3
C10095;+1 602-456-1835;2
C10096;+1 270-618-7624;3
C10097;+1 207-342-0246;0
C10098;+1 315-606-4504;0
C10099;+1 520-644-3489;0
C10100;+1 504-893-0671;3
C10101;+1 317-455-3634;3
C10102;+1 229-363-7396;3
C10103;+1 318-771-7128;0
C10104;+1 414-884-6456;2
C10105;+1 601-425-3118;3
C10106;+1 218-750-1532;2
C10107;+1 301-687-2742;0
C10108;+1 308-349-5417;3
C10109;+1 212-592-9178;3
C10110;+1 320-398-5927;2
C10111;+1 205-804-3090;0
C10112;+1 307-253-0330;3
C10113;+1 307-792-5274;0
C10114;+1 317-657-2585;0
C10115;+1 269-514-4642;3
C10116;+1 218-588-2552;1
C10117;+1 326-250-9833;2
C10118;+1 216-798-3353;0
C10119;+1 239-327-9327;0
C10120;+1 410-974-2693;2
C10121;+1 315-976-3430;3
C10122;+1 458-900-9922;2
C10123;+1 231-364-4883;1
C10124;+1 503-784-3813;2
C10125;+1 225-245-0453;2
C10126;+1 314-266-3738;0
C10127;+1 224-574-1890;1
C10128;+1 248-580-1975;1
C10130;+1 414-747-3060;3
C10131;+1 240-769-9762;3
C10132;+1 323-510-8564;0
C10133;+1 234-738-8461;2
C10134;+1 210-651-5930;2
C10135;+1 304-473-3820;3
C10136;+1 212-559-3983;0
C10137;+1 326-902-9038;1
C10138;+1 209-434-4100;3
C10139;+1 213-982-5026;0
C10140;+1 509-897-5994;0
C10141;+1 205-335-8315;2
C10142;+1 234-553-0798;2
C10143;+1 215-885-3411;1
C10144;+1 214-462-0373;2
C10145;+1 203-870-5144;3
C10146;+1 520-623-7980;1
C10147;+1 309-609-0945;1
C10148;+1 203-611-4406;0
C10149;+1 218-391-8901;3
C10150;+1 220-851-4712;2
C10151;+1 701-846-5186;1
C10152;+1 617-655-9276;3
C10153;+1 410-334-5685;2
C10154;+1 314-961-8970;3
C10155;+1 203-530-9246;1
C10156;+1 201-824-2358;1
C10157;+1 213-722-6879;2
C10158;+1 646-475-2251;1
C10159;+1 316-647-5241;3
C10160;+1 305-827-8280;2
C10161;+1 307-565-1860;1
C10162;+1 212-813-1529;3
C10163;+1 303-522-8028;3
C10164;+1 214-880-7168;1
C10165;+1 401-573-5809;0
C10166;+1 530-382-2369;2
C10167;+1 530-213-3936;1
C10168;+1 820-480-0230;2
C10169;+1 217-942-5987;0
C10170;+1 215-985-7240;2
C10171;+1 206-951-6638;3
C10172;+1 212-269-0608;3
C10173;+1 225-825-3634;1
C10174;+1 202-838-4925;0
C10175;+1 708-575-2816;3
C10176;+1 215-879-3595;2
C10177;+1 207-838-9480;0
C10178;+1 220-692-7815;0
C10179;+1 302-699-4904;2
C10180;+1 212-462-5909;3
C10181;+1 315-695-5761;1
C10182;+1 206-361-0671;1
C10183;+1 208-212-8697;2
C10184;+1 402-695-8334;3
C10185;+1 443-508-1301;1
C10186;+1 229-646-9460;0
C10187;+1 218-619-4232;2
C10188;+1 240-884-7949;1
C10189;+1 202-309-5694;2
C10190;+1 213-375-0534;3
C10191;+1 339-766-3423;1
C10192;+1 425-532-3389;0
C10193;+1 304-402-8694;2
C10194;+1 214-374-4913;1
C10196;+1 318-751-0007;2
